job,company,salary,experience,education,address
软件开发工程师（Python）,昆仑智汇数据科技（北京）有限公司,15k-30k,经验3-5年,本科及以上,北京 
python爬虫工程师,智线云科技（北京）有限公司,8k-15k,经验1-3年,本科及以上,武汉 
高级Python开发工程师,苏州极光无限信息技术有限公司,20k-40k,经验5-10年,大专及以上,苏州 
python 爬虫工程师,深圳市真星科技有限公司,10k-20k,经验3-5年,本科及以上,深圳 
python开发工程师,北京香侬慧语科技有限责任公司,20k-40k,经验3-5年,本科及以上,北京 
Python工程师,外语教学与研究出版社有限责任公司,15k-25k,经验3-5年,本科及以上,北京 
python开发工程师,北京棕榈创想科技有限公司,10k-20k,经验3-5年,本科及以上,成都 
python开发工程师,深圳市微赢世纪网络科技有限公司,15k-30k,经验3-5年,本科及以上,深圳 
【实习】游戏后台 C#/Python ,深圳战吼网络科技有限公司,3k-4k,经验应届毕业生,本科及以上,深圳 
PYTHON高级架构师,北京第三石科技发展有限公司,30k-40k,经验5-10年,本科及以上,北京 
PYTHON资深工程师,北京第三石科技发展有限公司,25k-40k,经验5-10年,本科及以上,北京 
高级python服务器开发,北京智胜新格科技有限公司,20k-40k,经验5-10年,本科及以上,北京 
python/go高级工程师,娱网科道网络科技有限公司,15k-20k,经验1-3年,本科及以上,杭州 
【兼职】python数据分析机器学习,天竞卓逸（深圳）网络竞技有限公司,9k-15k,经验不限,本科及以上,北京 
python后端开发工程师,深圳开思时代科技有限公司,20k-30k,经验5-10年,本科及以上,深圳 
python开发工程师,北京字节跳动科技有限公司,20k-35k,经验1-3年,本科及以上,北京 
Python后端开发工程师,克鲁（北京）网络科技有限公司,20k-40k,经验3-5年,本科及以上,北京 
高级Python开发工程师,上海虎烨信息科技有限公司,15k-30k,经验3-5年,本科及以上,上海 
Python开发工程师,北京拓林思软件有限公司,13k-26k,经验3-5年,本科及以上,北京 
python开发工程师,江曲投资咨询（上海）有限公司,10k-20k,经验1-3年,本科及以上,上海 
python开发工程师,江曲投资咨询（上海）有限公司,10k-20k,经验1-3年,本科及以上,上海 
Python Web实习生,上海担路网络科技有限公司,4k-6k,经验应届毕业生,本科及以上,上海 
高级python工程师,青岛思普润水处理股份有限公司,9k-18k,经验3-5年,本科及以上,青岛 
ScratchPython 编程实习讲师,天津市百思威科技有限公司,4k-6k,经验不限,大专及以上,天津 
高级全栈软件工程师（C++/Py,前沿驱动（北京）技术有限公司,25k-35k,经验5-10年,硕士及以上,北京 
python爬虫工程师,成都健数科技有限公司,6k-10k,经验1-3年,大专及以上,成都 
python开发工程师,广东盛迪嘉电子商务股份有限公司,16k-20k,经验3-5年,本科及以上,深圳 
python开发工程师,腾讯科技（深圳）有限公司,20k-40k,经验3-5年,本科及以上,深圳 
python开发工程师,广州游爱网络技术有限公司,10k-18k,经验3-5年,本科及以上,广州 
高级Python开发工程师,北京字节跳动科技有限公司,25k-50k,经验3-5年,本科及以上,上海 
Python开发工程师,智线云科技（北京）有限公司,8k-12k,经验1-3年,本科及以上,廊坊 
Python开发工程师,腾讯科技（深圳）有限公司,10k-15k,经验3-5年,本科及以上,深圳 
python人工智能讲师,北京传智播客教育科技有限公司,30k-50k,经验3-5年,本科及以上,深圳 
python开发工程师,云势天下（北京）软件有限公司,20k-30k,经验5-10年,本科及以上,北京 
python爬虫,成都斯沃茨科技有限公司,8k-16k,经验3-5年,大专及以上,成都 
python开发工程师,微慕客（成都）科技有限公司,8k-12k,经验1-3年,本科及以上,成都 
